# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude
1.000000000000000000e+00,0.000000000000000000e+00,2.520696162498861082e+00,0.000000000000000000e+00,2.754999999999999893e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.500000000000000000e+01,3.375000000000000000e+01,5.318620307087056354e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,2.399707321258556014e+00,0.000000000000000000e+00,2.004000000000000004e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.500000000000000000e+01,3.375000000000000000e+01,5.307756559498256976e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,2.399707321258556014e+00,0.000000000000000000e+00,2.004000000000000004e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.500000000000000000e+01,3.375000000000000000e+01,5.307756559498256976e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,2.399707321258556014e+00,0.000000000000000000e+00,2.004000000000000004e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.500000000000000000e+01,3.375000000000000000e+01,5.307756559498256976e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,9.750000000000000000e+02,1.917309160674741886e+00,2.000000000000000000e+00,8.103999999999999204e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.626132552442655310e+00,4.085131115677764768e+00,2.820473514026628159e+00,-1.512547061926035274e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,9.720000000000000000e+02,2.364889333085932410e+00,2.000000000000000000e+00,1.377100000000000080e+01,5.000000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+00,1.515005075222216391e+00,4.165257008537135874e+00,1.701997516356731799e+00,-2.093785775140494909e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,9.740000000000000000e+02,1.759762757846847991e+00,2.000000000000000000e+00,9.961999999999999744e+00,5.000000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+00,-6.536151125056726130e-01,4.151613061660128778e+00,1.858057836073994551e+00,2.497213324382747679e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,2.527617386782172737e+00,0.000000000000000000e+00,2.755999999999999783e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.467506552323433766e+01,3.375000000000000000e+01,5.359124333786486893e+00,-1.404383449003150153e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,2.414129309007881918e+00,0.000000000000000000e+00,2.052000000000000046e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.486136346615156612e+01,3.375000000000000000e+01,5.300388416673272651e+00,-1.067585941879369615e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,2.780000000000000000e+02,4.629353051013382903e+00,0.000000000000000000e+00,3.597899999999999920e+01,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-3.000000000000000000e+01,2.081566385435888478e+01,8.087920038604776707e+00,5.310955351581306161e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
